"","nome","responsabilidade","municipio","uf","logradouro","termo_convenio","data_de_entrega","pagamento_total","valor_pacutado","problema_encontrado"
"2929","049 CEI SETOR 2304 - São Paulo - SP","Municipal","São Paulo","SP","rua nova irlanda","11571/2014","2016-05-26","0","1639413","em andamento / já devia ter sido entregue"
"2930","006 CEI SETOR 6501  - São Paulo - SP","Municipal","São Paulo","SP","rua joaquim guimarães","11571/2014",NA,"0","1540103","não iniciada"
"2931","059 CEI SETOR 1106 II - São Paulo - SP","Municipal","São Paulo","SP","rua domingos delgado","11571/2014","2017-12-17","627085","1540103","em andamento / já devia ter sido entregue"
"2932","028 CEI SETOR 7501 - São Paulo - SP","Municipal","São Paulo","SP","rua aldeia de santo inácio","11571/2014",NA,"214991","1540103","não iniciada"
"2933","081 CEI SETOR 8103 - São Paulo - SP","Municipal","São Paulo","SP","est. corisco","11571/2014",NA,"0","1540103","não iniciada"
"2934","001 CEI SETOR 6703 - São Paulo - SP","Municipal","São Paulo","SP","av mauro marques da silva x av joão josé gomes","11571/2014",NA,"306854","1639413","não iniciada"
"2935","011 CEI SETOR 1706 II - São Paulo - SP","Municipal","São Paulo","SP","rua domingos sequeira","11571/2014",NA,"306854","1639413","não iniciada"
"2936","068 CEI setor 3705 - São Paulo - SP","Municipal","São Paulo","SP","travessa califa de bagdá","11571/2014",NA,"0","1639413","não iniciada"
"2937","051 CEI SETOR 4603 - São Paulo - SP","Municipal","São Paulo","SP","rua cornélio zelaia","11571/2014",NA,"0","1639413","não iniciada"
"2938"," 017 CEI SETOR 2406 - São Paulo - SP","Municipal","São Paulo","SP","rua antônio lombardo","11571/2014","2017-10-12","209352","1639413","em andamento / já devia ter sido entregue"
"2939","078 CEI setor 6803 - São Paulo - SP","Municipal","São Paulo","SP","rua manoel salgado","11571/2014",NA,"0","1639413","não iniciada"
"2940","072 CEI setor 6801 II - São Paulo - SP","Municipal","São Paulo","SP","rua tito oliani","11571/2014",NA,"0","1540103","não iniciada"
"2941","065 CEI setor 3013 - São Paulo - SP","Municipal","São Paulo","SP","rua charles rosen","11571/2014",NA,"0","1540103","não iniciada"
"2942","007 CEI SETOR 6704  - São Paulo - SP","Municipal","São Paulo","SP","rua abílio barbosa lima","11571/2014",NA,"0","1540103","não iniciada"
"2943","003 CEI SETOR 6702  - São Paulo - SP","Municipal","São Paulo","SP","avenida antônio ramiro da silva","11571/2014",NA,"306854","1639413","não iniciada"
"2944","057 CEI SETOR 3008 - São Paulo - SP","Municipal","São Paulo","SP","rua cidade do cabo","11571/2014",NA,"0","1540103","não iniciada"
"2945","050 CEI SETOR 4304 III - São Paulo - SP","Municipal","São Paulo","SP","rua carmelo cali","11571/2014","2016-12-22","209352","1639413","em andamento / já devia ter sido entregue"
"2946","083 CEI SETOR 8105 - São Paulo - SP","Municipal","São Paulo","SP","travessa jaime frazer","11571/2014",NA,"0","1540103","não iniciada"
"2947","084 CEI SETOR 8103 - São Paulo - SP","Municipal","São Paulo","SP","avenida coronel sezefredo fagundes","11571/2014",NA,"0","1540103","não iniciada"
"2948","004 CEI SETOR 9403  - São Paulo - SP","Municipal","São Paulo","SP","rua santo américo","11571/2014",NA,"0","1639413","não iniciada"
"2949","067 CEI setor 3703 - São Paulo - SP","Municipal","São Paulo","SP","rua desemboque","11571/2014",NA,"0","1540103","não iniciada"
"2950","061 CEI SETOR 3015 - São Paulo - SP","Municipal","São Paulo","SP","rua joão honório caixeta","11571/2014",NA,"0","1540103","não iniciada"
"2951","005 CEI SETOR 5404 - São Paulo - SP","Municipal","São Paulo","SP","rua barão de castro lima","11571/2014",NA,"0","1639413","não iniciada"
"2952","036 CEI SETOR 1906 - São Paulo - SP","Municipal","São Paulo","SP","rua abietáceas","11571/2014",NA,"0","1540103","não iniciada"
"2953","071 CEI setor 5506 - São Paulo - SP","Municipal","São Paulo","SP","rua domenico lanzetti","11571/2014",NA,"0","1540103","não iniciada"
"2954","066 CEI setor 3004 - São Paulo - SP","Municipal","São Paulo","SP","rua constelação de andrômeda","11571/2014",NA,"0","1540103","não iniciada"
"2955","010 CEI SETOR 1703  - São Paulo - SP","Municipal","São Paulo","SP","rua alexandre bening","11571/2014",NA,"306854","1639413","não iniciada"
"2956","076 CEI setor 3005 - São Paulo - SP","Municipal","São Paulo","SP","rua major lúcio dias ramos","11571/2014",NA,"0","1540103","não iniciada"
"2957","058 CEI SETOR 3006 - São Paulo - SP","Municipal","São Paulo","SP","rua prof. francisco marques de oliveira juniro","11571/2014",NA,"0","1540103","não iniciada"
"2958","002 CEI SETOR 9404 - São Paulo - SP","Municipal","São Paulo","SP","rua martins de oliveira","11571/2014",NA,"0","1639413","não iniciada"
"2959","038 CEI SETOR 1703III - São Paulo - SP","Municipal","São Paulo","SP","rua carlos leite dos santos","11571/2014",NA,"0","1540103","não iniciada"
"2960","016 CEI/EMEI  SETOR 8505 - São Paulo - SP","Municipal","São Paulo","SP","rua manoel ferreira pires","11571/2014",NA,"0","4072233","não iniciada"
"2961","062 CEI setor 2307 - São Paulo - SP","Municipal","São Paulo","SP","rua frederico rene de jaegher","11571/2014",NA,"0","1540103","não iniciada"
"2962","035 CEI SETOR 4602II - São Paulo - SP","Municipal","São Paulo","SP","rua paulo lemore","11571/2014",NA,"0","1639413","não iniciada"
"2963","055 CEI SETOR 0505 - São Paulo - SP","Municipal","São Paulo","SP","rua cratéus","11571/2014","2016-05-26","207843","1639413","não iniciada / já devia ter sido entregue"
"2964","045 CEI Setor 3307 - São Paulo - SP","Municipal","São Paulo","SP","rua sessenta e três","11571/2014",NA,"0","1639413","não iniciada"
"2965","080 CEI setor 8104 - São Paulo - SP","Municipal","São Paulo","SP","rua augusto rodrigues","11571/2014",NA,"0","1540103","não iniciada"
"2966","027 CEI SETOR 5802 - São Paulo - SP","Municipal","São Paulo","SP","rua monsenhor josé marinoni","11571/2014",NA,"306854","1639413","não iniciada"
"2967","060 CEI SETOR 6505 - São Paulo - SP","Municipal","São Paulo","SP","rua paolo agostini","11571/2014",NA,"0","1540103","não iniciada"
"2968","013 CEI SETOR 3014 - São Paulo - SP","Municipal","São Paulo","SP","rua antônio burlini","11571/2014","2015-08-30","306854","1639413","em andamento / já devia ter sido entregue"
"2969"," 085 CEI SETOR 6803 - São Paulo - SP","Municipal","São Paulo","SP","rua dos cariris novos","11571/2014",NA,"0","1540103","não iniciada"
"2970","019 CEI/EMEI SETOR 9608 - São Paulo - SP","Municipal","São Paulo","SP","av. josé pinheiro borges (antiga av. flores do jambeiro)","11571/2014",NA,"214991","4770663","não iniciada"
"2971","075 CEI setor 8106 - São Paulo - SP","Municipal","São Paulo","SP","rua padre francisco amos connor","11571/2014",NA,"0","1540103","não iniciada"
"2972","044 CEI SETOR 1702II - São Paulo - SP","Municipal","São Paulo","SP","estrada do campo limpo","11571/2014",NA,"0","1639413","não iniciada"
"2973","034 CEI SETOR 1907II - São Paulo - SP","Municipal","São Paulo","SP","rua ciclades","11571/2014",NA,"0","1639413","não iniciada"
"2974","033 CEI SETOR 6304 - São Paulo - SP","Municipal","São Paulo","SP","avenida menotti laudisio","11571/2014",NA,"0","1639413","não iniciada"
"2975","008 CEI  SETOR 4305  - São Paulo - SP","Municipal","São Paulo","SP","rua seringal do rio verde","11571/2014",NA,"0","1540103","não iniciada"
"2976","069 CEI setor 5505 - São Paulo - SP","Municipal","São Paulo","SP","rua savério de donato","11571/2014",NA,"0","1639413","não iniciada"
"2977","070 CEI setor 3001 - São Paulo - SP","Municipal","São Paulo","SP","avenida joaquim napoleão machado","11571/2014",NA,"0","1639413","não iniciada"
"2978","Creche Centro","Municipal","Medicilândia","PA","avenida alcides fredericci","9058/2014","2018-12-29","548632","2253384","paralisada"
"2979","PAC 2 - CRECHE/PRÉ-ESCOLA  JARDIM TROPICAL - Parauapebas - PA","Municipal","Parauapebas","PA","avenida paricá esquina com rua c-17","11576/2014",NA,"534120","2193281","não iniciada"
"2980","EMEF ATLANTICO II - Salinópolis - PA","Municipal","Salinópolis","PA","av. manoel miranda s/n","9064/2014",NA,"537565","2150261","não iniciada"
"2981","CEI UE 11 Sítio Novo","Municipal","Olinda","PE","avenida antônio da costa azevedo","9848/2014",NA,"410845","1540064","não iniciada"
